"Category","Order Date","Segment","Number of Records","Sales Target","Column6","Updated_Order_Date"
Technology,"3/18/11",Home Office,1,"25,729.34","","2011-18-03"
Furniture,"3/19/11",Corporate,1,"21.50688","","2011-19-03"
Office Supplies,"3/19/11",Corporate,1,"65.81496","","2011-19-03"
Technology,"3/19/11",Corporate,1,"444.7944","","2011-19-03"
Furniture,"3/21/11",Consumer,1,"216.14208","","2011-21-03"
Office Supplies,"3/21/11",Consumer,1,"79.19504","","2011-21-03"
Office Supplies,"3/21/11",Corporate,1,"311.63318","","2011-21-03"
Technology,"3/21/11",Corporate,1,"3,079.94","","2011-21-03"
Furniture,"3/22/11",Corporate,1,"314.352","","2011-22-03"
Office Supplies,"3/22/11",Consumer,1,"79.15845","","2011-22-03"
Office Supplies,"3/22/11",Corporate,1,"76.58256","","2011-22-03"
Office Supplies,"3/23/11",Consumer,1,"330.10264","","2011-23-03"
Technology,"3/23/11",Consumer,1,"622.89456","","2011-23-03"
Furniture,"3/24/11",Consumer,1,"37.2416","","2011-24-03"
Office Supplies,"3/24/11",Consumer,1,"22.908","","2011-24-03"
Furniture,"3/25/11",Consumer,1,"341.11098","","2011-25-03"
Office Supplies,"3/25/11",Consumer,1,"42.192","","2011-25-03"
Technology,"3/25/11",Consumer,1,"45.9348","","2011-25-03"
Office Supplies,"3/26/11",Consumer,1,"15.9375","","2011-26-03"
Office Supplies,"3/26/11",Corporate,1,"33.17376","","2011-26-03"
Technology,"3/26/11",Corporate,1,"83.67392","","2011-26-03"
Furniture,"3/28/11",Consumer,1,"1,101.79","","2011-28-03"
Furniture,"3/28/11",Home Office,1,"327.28212","","2011-28-03"
Office Supplies,"3/28/11",Consumer,1,"6.5484","","2011-28-03"
Technology,"3/28/11",Home Office,1,"314.47104","","2011-28-03"
Furniture,"3/29/11",Consumer,1,"917.56623","","2011-29-03"
Furniture,"3/30/11",Consumer,1,"211.83598","","2011-30-03"
Furniture,"3/30/11",Home Office,1,"113.29878","","2011-30-03"
Office Supplies,"3/30/11",Consumer,1,"184.3185","","2011-30-03"
Office Supplies,"3/30/11",Corporate,1,"65.0808","","2011-30-03"
Office Supplies,"3/30/11",Home Office,1,"342.4344","","2011-30-03"
Technology,"3/30/11",Home Office,1,"219.19128","","2011-30-03"
Furniture,"3/31/11",Consumer,1,"1,193.02","","2011-31-03"
Office Supplies,"3/31/11",Consumer,1,"827.4321","","2011-31-03"
Office Supplies,"3/31/11",Corporate,1,"1.98114","","2011-31-03"
Technology,"3/31/11",Consumer,1,"77.58448","","2011-31-03"
Office Supplies,"4/1/11",Consumer,1,"46.22112","","2011-01-04"
Office Supplies,"4/1/11",Corporate,1,"62.952","","2011-01-04"
Furniture,"4/2/11",Corporate,1,"181.2336","","2011-02-04"
Office Supplies,"4/2/11",Consumer,1,"242.4954","","2011-02-04"
Technology,"4/2/11",Consumer,1,"892.4405","","2011-02-04"
Office Supplies,"4/3/11",Corporate,1,"12.1644","","2011-03-04"
Technology,"4/3/11",Corporate,1,"237.8503","","2011-03-04"
Furniture,"4/4/11",Consumer,1,"5.3606","","2011-04-04"
Office Supplies,"4/4/11",Consumer,1,"87.296","","2011-04-04"
Office Supplies,"4/4/11",Corporate,1,"277.57668","","2011-04-04"
Office Supplies,"4/4/11",Home Office,1,"17.199","","2011-04-04"
Technology,"4/4/11",Corporate,1,"95.9808","","2011-04-04"
Office Supplies,"4/5/11",Consumer,1,"832.2588","","2011-05-04"
Office Supplies,"4/5/11",Corporate,1,"4,795.22","","2011-05-04"
Office Supplies,"4/5/11",Home Office,1,"54.3704","","2011-05-04"
Technology,"4/5/11",Corporate,1,"31.5991","","2011-05-04"
Furniture,"4/6/11",Corporate,1,"763.0476","","2011-06-04"
Furniture,"4/6/11",Home Office,1,"157.85928","","2011-06-04"
Office Supplies,"4/6/11",Corporate,1,"240.96712","","2011-06-04"
Office Supplies,"4/6/11",Home Office,1,"9.68576","","2011-06-04"
Technology,"4/6/11",Corporate,1,"307.1604","","2011-06-04"
Technology,"4/6/11",Home Office,1,"108.60912","","2011-06-04"
Furniture,"4/7/11",Consumer,1,"9.1392","","2011-07-04"
Office Supplies,"4/7/11",Corporate,1,"119.2809","","2011-07-04"
Office Supplies,"4/7/11",Home Office,1,"51.9048","","2011-07-04"
Technology,"4/7/11",Corporate,1,"535.4575","","2011-07-04"
Technology,"4/7/11",Home Office,1,"198.9603","","2011-07-04"
Furniture,"4/8/11",Consumer,1,"161.7834","","2011-08-04"
Furniture,"4/8/11",Corporate,1,"1,167.28","","2011-08-04"
Furniture,"4/8/11",Home Office,1,"108.55528","","2011-08-04"
Office Supplies,"4/8/11",Corporate,1,"19.2384","","2011-08-04"
Office Supplies,"4/8/11",Home Office,1,"43.81696","","2011-08-04"
Technology,"4/8/11",Home Office,1,"339.966","","2011-08-04"
Office Supplies,"4/11/11",Consumer,1,"109.38624","","2011-11-04"
Technology,"4/11/11",Consumer,1,"928.22016","","2011-11-04"
Technology,"4/11/11",Home Office,1,"720.4344","","2011-11-04"
Furniture,"4/12/11",Corporate,1,"311.58399","","2011-12-04"
Office Supplies,"4/12/11",Consumer,1,"33.696","","2011-12-04"
Office Supplies,"4/12/11",Corporate,1,"57.768","","2011-12-04"
Technology,"4/12/11",Corporate,1,"1,437.78","","2011-12-04"
Office Supplies,"4/13/11",Corporate,1,"547.64164","","2011-13-04"
Office Supplies,"4/13/11",Home Office,1,"8.4564","","2011-13-04"
Technology,"4/13/11",Corporate,1,"76.24368","","2011-13-04"
Furniture,"4/15/11",Home Office,1,"163.3512","","2011-15-04"
Office Supplies,"4/15/11",Home Office,1,"91.9856","","2011-15-04"
Office Supplies,"4/16/11",Corporate,1,"38.68128","","2011-16-04"
Furniture,"4/18/11",Consumer,1,"304.37568","","2011-18-04"
Office Supplies,"4/18/11",Consumer,1,"166.9017","","2011-18-04"
Technology,"4/18/11",Consumer,1,"443.71184","","2011-18-04"
Furniture,"4/19/11",Home Office,1,"76.14","","2011-19-04"
Office Supplies,"4/19/11",Consumer,1,"140.9697","","2011-19-04"
Furniture,"4/20/11",Consumer,1,"1,326.17","","2011-20-04"
Office Supplies,"4/20/11",Consumer,1,"38.114","","2011-20-04"
Office Supplies,"4/21/11",Consumer,1,"16.1896","","2011-21-04"
Office Supplies,"4/21/11",Corporate,1,"828.84","","2011-21-04"
Office Supplies,"4/22/11",Corporate,1,"257.752","","2011-22-04"
Furniture,"4/23/11",Home Office,1,"614.334","","2011-23-04"
Office Supplies,"4/23/11",Corporate,1,"2.35188","","2011-23-04"
Office Supplies,"4/23/11",Home Office,1,"51.32218","","2011-23-04"
Furniture,"4/25/11",Home Office,1,"1,772.39","","2011-25-04"
Office Supplies,"4/25/11",Home Office,1,"313.18752","","2011-25-04"
Technology,"4/25/11",Consumer,1,"287.2572","","2011-25-04"
Furniture,"4/26/11",Corporate,1,"216.4632","","2011-26-04"
Office Supplies,"4/26/11",Corporate,1,"16.82496","","2011-26-04"
Office Supplies,"4/26/11",Home Office,1,"34.68","","2011-26-04"
Office Supplies,"4/28/11",Corporate,1,"731.15064","","2011-28-04"
Technology,"4/28/11",Consumer,1,"1,629.56","","2011-28-04"
Technology,"4/28/11",Corporate,1,"159.98","","2011-28-04"
Furniture,"4/29/11",Consumer,1,"63.1722","","2011-29-04"
Furniture,"4/29/11",Corporate,1,"578.43152","","2011-29-04"
Office Supplies,"4/29/11",Consumer,1,"15.7872","","2011-29-04"
Office Supplies,"4/29/11",Corporate,1,"104.916","","2011-29-04"
Technology,"4/29/11",Consumer,1,"19.98","","2011-29-04"
Office Supplies,"4/30/11",Consumer,1,"1,030.98","","2011-30-04"
Technology,"4/30/11",Consumer,1,"51.1353","","2011-30-04"
Office Supplies,"5/2/11",Consumer,1,"24.8292","","2011-02-05"
Technology,"5/2/11",Consumer,1,"422.38592","","2011-02-05"
Office Supplies,"5/3/11",Consumer,1,"47.49696","","2011-03-05"
Office Supplies,"5/3/11",Home Office,1,"23.5004","","2011-03-05"
Furniture,"5/4/11",Consumer,1,"24.9886","","2011-04-05"
Furniture,"5/4/11",Corporate,1,"10.4748","","2011-04-05"
Office Supplies,"5/4/11",Consumer,1,"90.112","","2011-04-05"
Office Supplies,"5/4/11",Corporate,1,"61.7176","","2011-04-05"
Furniture,"5/5/11",Consumer,1,"124.03293","","2011-05-05"
Office Supplies,"5/5/11",Consumer,1,"37.7022","","2011-05-05"
Office Supplies,"5/5/11",Corporate,1,"80.53416","","2011-05-05"
Office Supplies,"5/6/11",Home Office,1,"267.1788","","2011-06-05"
Furniture,"5/7/11",Consumer,1,"959.913","","2011-07-05"
Office Supplies,"5/7/11",Consumer,1,"23.0454","","2011-07-05"
Technology,"5/8/11",Consumer,1,"1,619.97","","2011-08-05"
Office Supplies,"5/9/11",Corporate,1,"147.6003","","2011-09-05"
Technology,"5/9/11",Consumer,1,"228.6969","","2011-09-05"
Furniture,"5/10/11",Consumer,1,"521.80414","","2011-10-05"
Office Supplies,"5/10/11",Consumer,1,"222.2325","","2011-10-05"
Technology,"5/10/11",Consumer,1,"1,416.58","","2011-10-05"
Furniture,"5/11/11",Consumer,1,"61.48416","","2011-11-05"
Furniture,"5/11/11",Corporate,1,"1,031.02","","2011-11-05"
Office Supplies,"5/11/11",Corporate,1,"33.3963","","2011-11-05"
Office Supplies,"5/11/11",Home Office,1,"124.49304","","2011-11-05"
Technology,"5/11/11",Consumer,1,"195.4796","","2011-11-05"
Furniture,"5/12/11",Consumer,1,"639.31602","","2011-12-05"
Furniture,"5/13/11",Corporate,1,"296.22336","","2011-13-05"
Office Supplies,"5/13/11",Consumer,1,"59.94","","2011-13-05"
Office Supplies,"5/13/11",Corporate,1,"7.92","","2011-13-05"
Office Supplies,"5/13/11",Home Office,1,"417.61968","","2011-13-05"
Technology,"5/13/11",Consumer,1,"151.4697","","2011-13-05"
Furniture,"5/14/11",Corporate,1,"341.968","","2011-14-05"
Furniture,"5/16/11",Corporate,1,"204.9344","","2011-16-05"
Technology,"5/16/11",Consumer,1,"50.196","","2011-16-05"
Office Supplies,"5/17/11",Home Office,1,"85.2624","","2011-17-05"
Furniture,"5/18/11",Consumer,1,"126.8472","","2011-18-05"
Office Supplies,"5/18/11",Consumer,1,"17.3304","","2011-18-05"
Technology,"5/18/11",Consumer,1,"725.21028","","2011-18-05"
Office Supplies,"5/19/11",Consumer,1,"81.5418","","2011-19-05"
Furniture,"5/20/11",Corporate,1,"130.66704","","2011-20-05"
Office Supplies,"5/20/11",Corporate,1,"128.25008","","2011-20-05"
Technology,"5/20/11",Corporate,1,"20.99184","","2011-20-05"
Furniture,"5/21/11",Consumer,1,"93.76164","","2011-21-05"
Office Supplies,"5/21/11",Consumer,1,"78.34464","","2011-21-05"
Office Supplies,"5/21/11",Corporate,1,"2,634.45","","2011-21-05"
Office Supplies,"5/21/11",Home Office,1,"788.1312","","2011-21-05"
Technology,"5/21/11",Corporate,1,"624.1497","","2011-21-05"
Technology,"5/22/11",Consumer,1,"168.2649","","2011-22-05"
Office Supplies,"5/23/11",Consumer,1,"295.427","","2011-23-05"
Technology,"5/23/11",Consumer,1,"50.22108","","2011-23-05"
Office Supplies,"5/24/11",Consumer,1,"108.1404","","2011-24-05"
Furniture,"5/25/11",Consumer,1,"27.5608","","2011-25-05"
Office Supplies,"5/25/11",Consumer,1,"87.5134","","2011-25-05"
Furniture,"5/26/11",Consumer,1,"561.66528","","2011-26-05"
Furniture,"5/26/11",Corporate,1,"316.82594","","2011-26-05"
Office Supplies,"5/26/11",Consumer,1,"116.016","","2011-26-05"
Office Supplies,"5/26/11",Home Office,1,"44.044","","2011-26-05"
Technology,"5/26/11",Corporate,1,"302.70208","","2011-26-05"
Furniture,"5/27/11",Corporate,1,"510.408","","2011-27-05"
Office Supplies,"5/27/11",Consumer,1,"15.1902","","2011-27-05"
Office Supplies,"5/27/11",Corporate,1,"355.7268","","2011-27-05"
Technology,"5/27/11",Consumer,1,"1,298.44","","2011-27-05"
Office Supplies,"5/28/11",Consumer,1,"138.3296","","2011-28-05"
Technology,"5/28/11",Corporate,1,"87.55824","","2011-28-05"
Furniture,"5/30/11",Consumer,1,"312.8004","","2011-30-05"
Office Supplies,"5/30/11",Consumer,1,"76.70112","","2011-30-05"
Office Supplies,"5/30/11",Corporate,1,"308.81172","","2011-30-05"
Technology,"5/30/11",Corporate,1,"1,160.30","","2011-30-05"
Technology,"5/31/11",Consumer,1,"781.437","","2011-31-05"
Furniture,"6/1/11",Consumer,1,"20.202","","2011-01-06"
Furniture,"6/1/11",Home Office,1,"2,141.99","","2011-01-06"
Office Supplies,"6/1/11",Corporate,1,"193.876","","2011-01-06"
Office Supplies,"6/1/11",Home Office,1,"1,808.25","","2011-01-06"
Technology,"6/1/11",Consumer,1,"890.7493","","2011-01-06"
Furniture,"6/2/11",Home Office,1,"62.322","","2011-02-06"
Office Supplies,"6/2/11",Consumer,1,"347.225","","2011-02-06"
Office Supplies,"6/2/11",Home Office,1,"61.60224","","2011-02-06"
Technology,"6/2/11",Consumer,1,"218.3727","","2011-02-06"
Furniture,"6/3/11",Consumer,1,"496.58464","","2011-03-06"
Office Supplies,"6/3/11",Consumer,1,"156.0636","","2011-03-06"
Office Supplies,"6/3/11",Home Office,1,"15.1272","","2011-03-06"
Furniture,"6/4/11",Consumer,1,"458.44704","","2011-04-06"
Office Supplies,"6/4/11",Consumer,1,"16.6492","","2011-04-06"
Office Supplies,"6/4/11",Home Office,1,"17.35968","","2011-04-06"
Furniture,"6/6/11",Corporate,1,"1,090.94","","2011-06-06"
Office Supplies,"6/6/11",Consumer,1,"126.8443","","2011-06-06"
Office Supplies,"6/6/11",Corporate,1,"161.68348","","2011-06-06"
Office Supplies,"6/6/11",Home Office,1,"99.2376","","2011-06-06"
Furniture,"6/7/11",Consumer,1,"236.6628","","2011-07-06"
Office Supplies,"6/7/11",Corporate,1,"13.45896","","2011-07-06"
Furniture,"6/8/11",Consumer,1,"614.8296","","2011-08-06"
Furniture,"6/8/11",Corporate,1,"158.42736","","2011-08-06"
Office Supplies,"6/8/11",Consumer,1,"1,745.36","","2011-08-06"
Furniture,"6/9/11",Consumer,1,"2,908.67","","2011-09-06"
Furniture,"6/9/11",Corporate,1,"38.148","","2011-09-06"
Office Supplies,"6/9/11",Consumer,1,"167.72112","","2011-09-06"
Office Supplies,"6/9/11",Corporate,1,"91.368","","2011-09-06"
Office Supplies,"6/9/11",Home Office,1,"75.99744","","2011-09-06"
Technology,"6/9/11",Consumer,1,"1,891.32","","2011-09-06"
Technology,"6/9/11",Home Office,1,"70.53648","","2011-09-06"
Office Supplies,"6/10/11",Corporate,1,"481.719","","2011-10-06"
Office Supplies,"6/13/11",Corporate,1,"13.794","","2011-13-06"
Furniture,"6/14/11",Home Office,1,"208.6812","","2011-14-06"
Furniture,"6/15/11",Corporate,1,"960.71234","","2011-15-06"
Office Supplies,"6/15/11",Consumer,1,"39.10208","","2011-15-06"
Office Supplies,"6/15/11",Corporate,1,"8.48232","","2011-15-06"
Furniture,"6/16/11",Consumer,1,"693.1888","","2011-16-06"
Office Supplies,"6/16/11",Consumer,1,"102.03776","","2011-16-06"
Furniture,"6/17/11",Consumer,1,"6.6768","","2011-17-06"
Office Supplies,"6/17/11",Consumer,1,"3,312.83","","2011-17-06"
Technology,"6/17/11",Consumer,1,"62.6715","","2011-17-06"
Technology,"6/18/11",Consumer,1,"132.81","","2011-18-06"
Furniture,"6/20/11",Consumer,1,"183.41232","","2011-20-06"
Office Supplies,"6/20/11",Consumer,1,"1,005.35","","2011-20-06"
Technology,"6/20/11",Consumer,1,"564.54944","","2011-20-06"
Furniture,"6/21/11",Consumer,1,"116.63352","","2011-21-06"
Office Supplies,"6/21/11",Consumer,1,"271.2752","","2011-21-06"
Technology,"6/21/11",Consumer,1,"4,043.01","","2011-21-06"
Furniture,"6/22/11",Consumer,1,"1,003.51","","2011-22-06"
Office Supplies,"6/22/11",Consumer,1,"698.85504","","2011-22-06"
Technology,"6/22/11",Consumer,1,"293.5107","","2011-22-06"
Office Supplies,"6/23/11",Consumer,1,"21.964","","2011-23-06"
Technology,"6/23/11",Consumer,1,"75.14712","","2011-23-06"
Furniture,"6/24/11",Consumer,1,"4.01568","","2011-24-06"
Furniture,"6/25/11",Corporate,1,"470.232","","2011-25-06"
Office Supplies,"6/25/11",Corporate,1,"73.6736","","2011-25-06"
Technology,"6/25/11",Corporate,1,"248.1224","","2011-25-06"
Furniture,"6/27/11",Consumer,1,"85.98","","2011-27-06"
Office Supplies,"6/27/11",Consumer,1,"318.448","","2011-27-06"
Technology,"6/27/11",Consumer,1,"223.96","","2011-27-06"
Furniture,"6/28/11",Consumer,1,"1,081.05","","2011-28-06"
Office Supplies,"6/28/11",Consumer,1,"394.79616","","2011-28-06"
Office Supplies,"6/28/11",Corporate,1,"6.4448","","2011-28-06"
Office Supplies,"6/29/11",Consumer,1,"41.0784","","2011-29-06"
Office Supplies,"6/30/11",Consumer,1,"712.79136","","2011-30-06"
Office Supplies,"6/30/11",Corporate,1,"80.42832","","2011-30-06"
Office Supplies,"7/1/11",Corporate,1,"23.09568","","2011-01-07"
Technology,"7/1/11",Corporate,1,"593.1976","","2011-01-07"
Office Supplies,"7/2/11",Consumer,1,"5.1894","","2011-02-07"
Technology,"7/2/11",Consumer,1,"78.4188","","2011-02-07"
Office Supplies,"7/4/11",Consumer,1,"34.4448","","2011-04-07"
Office Supplies,"7/4/11",Corporate,1,"178.4728","","2011-04-07"
Furniture,"7/5/11",Corporate,1,"253.68224","","2011-05-07"
Office Supplies,"7/5/11",Consumer,1,"579.1608","","2011-05-07"
Office Supplies,"7/5/11",Corporate,1,"15.45402","","2011-05-07"
Office Supplies,"7/5/11",Home Office,1,"191.8176","","2011-05-07"
Technology,"7/5/11",Consumer,1,"475.1703","","2011-05-07"
Furniture,"7/6/11",Home Office,1,"464.1256","","2011-06-07"
Technology,"7/6/11",Consumer,1,"498.39288","","2011-06-07"
Furniture,"7/7/11",Consumer,1,"205.0149","","2011-07-07"
Furniture,"7/8/11",Consumer,1,"55.57734","","2011-08-07"
Furniture,"7/8/11",Corporate,1,"522.58752","","2011-08-07"
Office Supplies,"7/8/11",Corporate,1,"180.96768","","2011-08-07"
Furniture,"7/9/11",Home Office,1,"127.02298","","2011-09-07"
Office Supplies,"7/9/11",Corporate,1,"22.7424","","2011-09-07"
Office Supplies,"7/9/11",Home Office,1,"102.8228","","2011-09-07"
Furniture,"7/11/11",Corporate,1,"900.726","","2011-11-07"
Office Supplies,"7/11/11",Consumer,1,"81.6564","","2011-11-07"
Office Supplies,"7/11/11",Corporate,1,"182.02","","2011-11-07"
Technology,"7/11/11",Consumer,1,"651.91984","","2011-11-07"
Technology,"7/11/11",Corporate,1,"184.1121","","2011-11-07"
Furniture,"7/12/11",Consumer,1,"120.67328","","2011-12-07"
Furniture,"7/12/11",Corporate,1,"768.1872","","2011-12-07"
Furniture,"7/12/11",Home Office,1,"543.09948","","2011-12-07"
Office Supplies,"7/12/11",Consumer,1,"47.5912","","2011-12-07"
Office Supplies,"7/12/11",Corporate,1,"7.09504","","2011-12-07"
Office Supplies,"7/12/11",Home Office,1,"320.7138","","2011-12-07"
Technology,"7/12/11",Consumer,1,"21.456","","2011-12-07"
Technology,"7/12/11",Home Office,1,"258.49536","","2011-12-07"
Furniture,"7/13/11",Corporate,1,"309.07008","","2011-13-07"
Furniture,"7/14/11",Consumer,1,"29.74512","","2011-14-07"
Office Supplies,"7/14/11",Consumer,1,"89.70368","","2011-14-07"
