Category,Order Date,Segment,Number of Records,Sales Target,
Technology,7/12/11,Consumer,1,21.456,
Technology,7/12/11,Home Office,1,258.49536,
Furniture,7/13/11,Corporate,1,309.07008,
Furniture,7/14/11,Consumer,1,29.74512,
Office Supplies,7/14/11,Consumer,1,89.70368,
Office Supplies,7/14/11,Corporate,1,16.6842,
Office Supplies,7/14/11,Home Office,1,64.55316,
Technology,7/14/11,Consumer,1,37.482,
Technology,7/14/11,Home Office,1,41.33376,
Office Supplies,7/15/11,Corporate,1,5.6244,
Technology,7/15/11,Corporate,1,2.7027,
Furniture,7/18/11,Home Office,1,279.86688,
Office Supplies,7/18/11,Consumer,1,15.01632,
Furniture,7/19/11,Corporate,1,76.9104,
Office Supplies,7/19/11,Corporate,1,25.6776,
Office Supplies,7/19/11,Home Office,1,6.7056,
Technology,7/19/11,Corporate,1,334.7814,
Furniture,7/20/11,Consumer,1,42.5898,
Furniture,7/20/11,Home Office,1,858.37632,
Office Supplies,7/20/11,Consumer,1,260.4432,
Office Supplies,7/20/11,Corporate,1,482.0214,
Office Supplies,7/20/11,Home Office,1,298.29168,
Technology,7/20/11,Corporate,1,41.1012,
Furniture,7/21/11,Corporate,1,"1,818.96",
Office Supplies,7/21/11,Corporate,1,164.1826,
Technology,7/21/11,Consumer,1,37.0594,
Furniture,7/22/11,Consumer,1,772.62264,
Office Supplies,7/22/11,Consumer,1,305.86708,
Office Supplies,7/22/11,Home Office,1,20.2704,
Technology,7/22/11,Consumer,1,171.1786,
Office Supplies,7/23/11,Consumer,1,17.922,
Office Supplies,7/23/11,Corporate,1,44.77,
Technology,7/23/11,Consumer,1,"1,506.78",
Technology,7/23/11,Corporate,1,914.04288,
Furniture,7/25/11,Consumer,1,68.5696,
Office Supplies,7/25/11,Consumer,1,"8,735.85",
Office Supplies,7/25/11,Home Office,1,21.78,
Furniture,7/26/11,Consumer,1,799.91976,
Office Supplies,7/26/11,Consumer,1,"2,145.29",
Technology,7/26/11,Consumer,1,"1,453.53",
Technology,7/26/11,Corporate,1,108.5721,
Office Supplies,7/27/11,Corporate,1,314.6952,
Technology,7/27/11,Consumer,1,204.68,
Furniture,7/28/11,Consumer,1,128.58912,
Office Supplies,7/28/11,Consumer,1,68.95776,
Furniture,7/30/11,Corporate,1,"1,190.02",
Furniture,8/1/11,Corporate,1,47.65824,
Office Supplies,8/1/11,Consumer,1,19.55448,
Office Supplies,8/1/11,Corporate,1,152.41728,
Office Supplies,8/1/11,Home Office,1,5.0552,
Office Supplies,8/2/11,Home Office,1,778.572,
Technology,8/2/11,Home Office,1,18.232,
Furniture,8/3/11,Consumer,1,203.4375,
Office Supplies,8/3/11,Consumer,1,181.1798,
Office Supplies,8/3/11,Home Office,1,83.7216,
Office Supplies,8/4/11,Consumer,1,"1,553.47",
Office Supplies,8/4/11,Corporate,1,376.168,
Technology,8/4/11,Consumer,1,403.9596,
Technology,8/4/11,Corporate,1,263.0826,
Furniture,8/5/11,Consumer,1,704.9679,
Furniture,8/5/11,Corporate,1,"1,178.68",
Office Supplies,8/5/11,Consumer,1,178.1672,
Office Supplies,8/5/11,Corporate,1,100.9899,
Technology,8/5/11,Consumer,1,14.2332,
Technology,8/5/11,Corporate,1,142.7895,
Technology,8/6/11,Consumer,1,273.4056,
Furniture,8/8/11,Consumer,1,519.94912,
Furniture,8/8/11,Home Office,1,47.9532,
Office Supplies,8/8/11,Consumer,1,454.454,
Office Supplies,8/8/11,Home Office,1,207.93375,
Technology,8/8/11,Consumer,1,"1,637.40",
Technology,8/8/11,Home Office,1,909.4679,
Office Supplies,8/9/11,Consumer,1,"2,018.12",
Office Supplies,8/9/11,Corporate,1,16.95168,
Office Supplies,8/9/11,Home Office,1,22.3416,
Technology,8/9/11,Corporate,1,164.11328,
Technology,8/9/11,Home Office,1,"1,375.85",
Furniture,8/11/11,Consumer,1,11.609,
Office Supplies,8/11/11,Consumer,1,461.2335,
Furniture,8/12/11,Consumer,1,80.3136,
Office Supplies,8/12/11,Consumer,1,13.4784,
Office Supplies,8/12/11,Corporate,1,198.1721,
Office Supplies,8/12/11,Home Office,1,268.9344,
Technology,8/12/11,Consumer,1,"1,154.47",
Technology,8/12/11,Home Office,1,173.23152,
Furniture,8/15/11,Consumer,1,193.18464,
Office Supplies,8/15/11,Consumer,1,660.59892,
Furniture,8/16/11,Consumer,1,725.1282,
Office Supplies,8/17/11,Corporate,1,166.79728,
Technology,8/17/11,Corporate,1,339.96,
Furniture,8/19/11,Consumer,1,600.4908,
Furniture,8/19/11,Corporate,1,318.164,
Office Supplies,8/19/11,Consumer,1,103.4476,
Office Supplies,8/19/11,Corporate,1,410.22234,
Furniture,8/20/11,Consumer,1,379.2348,
Furniture,8/20/11,Corporate,1,440.2112,
Office Supplies,8/20/11,Corporate,1,834.5701,
Office Supplies,8/22/11,Consumer,1,19.95968,
Office Supplies,8/22/11,Home Office,1,3.99024,
Furniture,8/23/11,Consumer,1,3.67488,
Office Supplies,8/23/11,Consumer,1,351.83552,
Office Supplies,8/23/11,Corporate,1,52.0464,
Office Supplies,8/23/11,Home Office,1,17.8848,
Technology,8/23/11,Consumer,1,140.7672,
Furniture,8/24/11,Corporate,1,12.0848,
Office Supplies,8/24/11,Corporate,1,40.4202,
Furniture,8/25/11,Corporate,1,5.652,
Office Supplies,8/25/11,Consumer,1,215.9612,
Office Supplies,8/25/11,Corporate,1,100.80576,
Technology,8/25/11,Consumer,1,997.86456,
Technology,8/25/11,Corporate,1,88.443,
Furniture,8/26/11,Consumer,1,9.3984,
Office Supplies,8/26/11,Consumer,1,18.4408,
Office Supplies,8/26/11,Home Office,1,8.208,
Technology,8/26/11,Home Office,1,316.9669,
Furniture,8/27/11,Corporate,1,"1,207.42",
Office Supplies,8/27/11,Consumer,1,43.3008,
Technology,8/27/11,Consumer,1,183.5928,
Technology,8/27/11,Corporate,1,562.5515,
Furniture,8/29/11,Consumer,1,177.53967,
Office Supplies,8/29/11,Consumer,1,583.13256,
Office Supplies,8/29/11,Corporate,1,113.4176,
Office Supplies,8/30/11,Consumer,1,117.6028,
Technology,8/31/11,Consumer,1,101.772,
Office Supplies,9/1/11,Consumer,1,101.1924,
Technology,9/1/11,Consumer,1,303.45,
Furniture,9/2/11,Consumer,1,60.1035,
Office Supplies,9/2/11,Consumer,1,"1,907.81",
Technology,9/2/11,Consumer,1,708.7608,
Technology,9/2/11,Corporate,1,587.6955,
Office Supplies,9/3/11,Consumer,1,15.84,
Office Supplies,9/3/11,Home Office,1,8.3712,
Furniture,9/5/11,Consumer,1,31.02448,
Office Supplies,9/5/11,Consumer,1,256.3904,
Furniture,9/6/11,Corporate,1,42.2988,
Office Supplies,9/6/11,Corporate,1,57.8952,
Furniture,9/7/11,Consumer,1,932.3442,
Furniture,9/7/11,Corporate,1,45.75744,
Furniture,9/7/11,Home Office,1,792.655,
Office Supplies,9/7/11,Consumer,1,377.748,
Office Supplies,9/7/11,Corporate,1,190.72528,
Office Supplies,9/7/11,Home Office,1,74.40288,
Technology,9/7/11,Consumer,1,511.7892,
Technology,9/7/11,Corporate,1,457.83732,
Technology,9/7/11,Home Office,1,265.37576,
Furniture,9/8/11,Consumer,1,"3,719.51",
Furniture,9/8/11,Home Office,1,169.30872,
Office Supplies,9/8/11,Consumer,1,"1,500.54",
Office Supplies,9/8/11,Corporate,1,16.6122,
Office Supplies,9/8/11,Home Office,1,77.5768,
Technology,9/8/11,Consumer,1,"7,364.94",
Technology,9/8/11,Corporate,1,113.3445,
Furniture,9/9/11,Consumer,1,16.94784,
Furniture,9/9/11,Corporate,1,683.7156,
Furniture,9/9/11,Home Office,1,65.52576,
Office Supplies,9/9/11,Consumer,1,123.5456,
Office Supplies,9/9/11,Corporate,1,"1,609.60",
Office Supplies,9/9/11,Home Office,1,29.89152,
Technology,9/9/11,Consumer,1,"1,485.21",
Furniture,9/10/11,Consumer,1,"1,741.94",
Office Supplies,9/10/11,Consumer,1,104.68448,
Office Supplies,9/10/11,Home Office,1,8.4832,
Furniture,9/11/11,Consumer,1,117.714,
Furniture,9/12/11,Consumer,1,"3,898.85",
Furniture,9/12/11,Home Office,1,34.8816,
Office Supplies,9/12/11,Consumer,1,58.7384,
Office Supplies,9/12/11,Corporate,1,155.94304,
